iter	Passed	Remaining
0	57	57172
1	57	28856
2	58	19438
3	59	14707
4	59	11903
5	60	10033
6	61	8672
7	61	7663
8	62	6866
9	62	6226
10	63	5698
11	63	5262
12	64	4899
13	65	4585
14	65	4313
15	66	4072
16	66	3863
17	67	3696
18	68	3524
19	69	3382
20	69	3252
21	70	3131
22	71	3020
23	71	2915
24	72	2822
25	73	2740
26	73	2658
27	74	2577
28	74	2504
29	75	2439
30	76	2377
31	76	2313
32	77	2257
33	77	2207
34	78	2157
35	78	2109
36	79	2065
37	80	2026
38	80	1989
39	81	1957
40	82	1923
41	82	1889
42	83	1855
43	84	1825
44	84	1794
45	85	1764
46	86	1745
47	86	1718
48	87	1694
49	87	1670
50	88	1648
51	89	1629
52	90	1610
53	90	1588
54	91	1568
55	92	1550
56	92	1533
57	93	1514
58	93	1497
59	94	1483
60	95	1467
61	96	1453
62	96	1438
63	97	1422
64	97	1406
65	98	1391
66	99	1380
67	100	1370
68	100	1357
69	101	1345
70	101	1332
71	102	1319
72	102	1306
73	103	1296
74	104	1293
75	105	1283
76	106	1272
77	106	1262
78	107	1252
79	108	1242
80	108	1234
81	109	1225
82	109	1211
83	110	1202
84	110	1191
85	111	1186
86	112	1178
87	112	1170
88	113	1163
89	114	1158
90	115	1151
91	115	1143
92	116	1138
93	117	1130
94	117	1123
95	118	1117
96	119	1109
97	119	1103
98	120	1096
99	121	1089
100	121	1084
101	122	1078
102	123	1071
103	123	1065
104	124	1059
105	124	1053
106	125	1049
107	126	1044
108	127	1039
109	127	1034
110	128	1029
111	129	1024
112	129	1018
113	130	1012
114	130	1007
115	131	1003
116	132	997
117	132	991
118	133	986
119	134	982
120	134	978
121	135	972
122	135	969
123	136	964
124	137	960
125	137	955
126	138	950
127	138	945
128	139	942
129	140	939
130	140	935
131	141	931
132	142	927
133	142	923
134	143	920
135	144	921
136	145	916
137	146	912
138	146	908
139	147	906
140	149	910
141	150	906
142	150	902
143	152	906
144	153	903
145	154	901
146	155	899
147	155	897
148	156	895
149	157	892
150	158	890
151	158	886
152	159	883
153	160	880
154	161	878
155	161	876
156	162	874
157	163	871
158	164	869
159	165	866
160	165	862
161	166	859
162	167	857
163	167	855
164	168	853
165	169	851
166	170	849
167	171	847
168	171	845
169	173	846
170	174	844
171	175	842
172	175	840
173	176	838
174	177	837
175	178	835
176	179	832
177	179	830
178	180	828
179	181	826
180	182	823
181	182	821
182	183	820
183	184	817
184	185	815
185	186	814
186	186	812
187	187	811
188	188	810
189	189	808
190	190	807
191	191	804
192	192	802
193	192	801
194	194	802
195	195	801
196	196	799
197	197	800
198	198	798
199	199	796
200	204	812
201	205	811
202	206	809
203	207	808
204	208	806
205	208	804
206	209	802
207	210	800
208	211	798
209	211	796
210	212	794
211	213	792
212	213	790
213	214	788
214	215	786
215	216	784
216	216	782
217	217	780
218	218	778
219	219	776
220	219	774
221	220	772
222	221	770
223	221	769
224	222	767
225	223	765
226	224	764
227	225	763
228	226	762
229	227	760
230	227	758
231	228	756
232	229	754
233	230	752
234	230	751
235	231	749
236	232	748
237	232	745
238	233	744
239	234	742
240	235	740
241	235	739
242	236	737
243	237	736
244	238	734
245	238	732
246	239	730
247	240	729
248	241	727
249	241	725
250	242	724
251	243	722
252	244	720
253	244	719
254	245	717
255	246	716
256	247	714
257	247	713
258	248	711
259	249	710
260	250	708
261	251	707
262	251	705
263	252	703
264	253	702
265	254	700
266	254	699
267	255	698
268	256	696
269	257	695
270	257	693
271	258	692
272	259	690
273	259	688
274	260	687
275	261	685
276	262	684
277	262	682
278	263	681
279	264	680
280	265	678
281	266	677
282	266	676
283	267	674
284	268	672
285	268	671
286	269	669
287	270	667
288	270	666
289	271	664
290	272	663
291	272	661
292	273	659
293	274	658
294	274	656
295	275	654
296	276	653
297	276	652
298	277	650
299	278	648
300	278	647
301	279	646
302	280	644
303	280	643
304	281	641
305	282	639
306	282	638
307	283	636
308	284	635
309	284	634
310	285	632
311	286	631
312	287	630
313	287	628
314	288	627
315	289	625
316	289	624
317	290	622
318	291	621
319	291	619
320	292	618
321	292	616
322	293	615
323	294	613
324	294	612
325	295	610
326	295	608
327	296	607
328	297	606
329	297	604
330	298	603
331	299	602
332	299	600
333	300	598
334	301	597
335	301	596
336	302	595
337	303	593
338	303	592
339	304	591
340	305	590
341	306	588
342	306	587
343	307	586
344	307	584
345	308	583
346	309	581
347	309	580
348	310	578
349	310	577
350	311	576
351	312	574
352	312	573
353	313	572
354	314	570
355	314	569
356	315	568
357	316	566
358	316	565
359	317	564
360	318	563
361	318	561
362	319	560
363	320	559
364	320	558
365	321	556
366	322	555
367	322	554
368	323	553
369	324	552
370	325	551
371	325	549
372	326	548
373	327	547
374	327	546
375	328	544
376	328	543
377	329	542
378	330	541
379	330	539
380	331	538
381	332	537
382	332	536
383	333	534
384	333	533
385	334	532
386	335	531
387	336	530
388	336	529
389	337	528
390	338	526
391	338	525
392	339	524
393	340	523
394	340	522
395	341	520
396	341	519
397	342	518
398	343	516
399	343	515
400	344	514
401	345	513
402	345	512
403	346	511
404	347	510
405	348	509
406	349	508
407	349	507
408	350	506
409	351	505
410	351	504
411	352	502
412	352	501
413	353	500
414	354	499
415	354	497
416	355	496
417	355	495
418	356	494
419	357	493
420	358	492
421	358	491
422	359	489
423	359	488
424	360	487
425	360	486
426	361	484
427	361	483
428	362	482
429	363	481
430	363	479
431	364	478
432	364	477
433	365	476
434	365	474
435	366	473
436	366	472
437	367	471
438	368	470
439	368	469
440	369	467
441	369	466
442	370	465
443	370	464
444	371	463
445	371	461
446	372	460
447	372	459
448	373	458
449	373	456
450	374	455
451	374	454
452	375	453
453	375	452
454	376	450
455	376	449
456	377	448
457	378	447
458	378	446
459	379	445
460	379	444
461	380	443
462	381	441
463	381	440
464	382	439
465	382	438
466	383	437
467	383	436
468	384	435
469	385	434
470	385	433
